ST,CB,PB,GO,CA,RETURN,VOLAT
20,60,0,20,0,9.696788805590185,4.384118211308098
20,60,20,0,0,2.9899257298330784,2.2230471306569783
20,80,0,0,0,4.569172469892669,3.5857894801438563
40,0,0,0,60,0.09287241099727547,3.7737075254649066
40,0,0,20,40,5.868719476864506,4.220323785259133
40,0,0,40,20,10.948053463318523,5.26501370717249
40,0,0,60,0,15.449699222379826,6.392899760909304
40,0,20,0,40,0.9147071500407026,2.931271770225808
40,0,20,20,20,5.619506662886305,3.437171420145381
40,0,20,40,0,9.852842953482863,4.4015882619109465
40,0,40,0,20,1.4766210073276684,2.404892344095747
40,0,40,20,0,5.445582685049684,2.9244494696740624
40,0,60,0,0,1.8850846808584578,2.0604550293300514
40,20,0,0,40,1.5682824728508102,4.124280191791306
40,20,0,20,20,7.402632361900174,4.7627007417555
40,20,0,40,0,12.51561793869792,5.848332827808168
40,20,20,0,20,2.125678440597395,3.215322870133328
40,20,20,20,0,6.8689725519287865,3.8753081268224805
40,20,40,0,0,2.5033398417428874,2.647992360801576
40,40,0,0,20,3.1313935872807632,4.578431624349771
40,40,0,20,0,9.021549213744908,5.359038970255909
40,40,20,0,0,3.3944654908552576,3.5771233602016297
40,60,0,0,0,4.79026494543348,5.12513598241279
60,0,0,0,40,2.1981842766080835,5.4184488903360135
60,0,0,20,20,7.165941729643052,5.760885346302821
60,0,0,40,0,11.602286187425964,6.462489919071579
60,0,20,0,20,2.579705176551263,4.367686769284095
60,0,20,20,0,6.734017041685815,4.772849926937744
60,0,40,0,0,2.851430300918084,3.657874502071524
60,20,0,0,20,3.535220192206149,5.830875956414861
60,20,0,20,0,8.543213561683029,6.26072631365122
60,20,20,0,0,3.695278923021398,4.698684157112226
60,40,0,0,0,4.941163725981414,6.30261676605382
80,0,0,0,20,3.830808802515009,6.7848304625586096
80,0,0,20,0,8.186613985194198,7.01855568891442
80,0,20,0,0,3.927726726377408,5.606044882194296
80,20,0,0,0,5.050717524423885,7.203565364394265
100,0,0,0,0,5.133871216403721,7.9099297273949
